trial,val_mse,n_params,elapsed_s,depth,width,activation,lr,batch_size
0,0.0004512992499467845,33665,101.6,3,128,gelu,0.004622589001020831,256
1,0.00045183196422070835,264449,101.8,5,256,gelu,0.0001238513729886094,256
2,0.0004574997874442488,17153,101.4,2,128,tanh,0.0004201672054372534,256
3,0.0004515786814198901,132865,101.8,3,256,gelu,0.0005170191786366995,256
4,0.00045675747298026603,2273,112.7,3,32,silu,0.005323617594751502,32
5,0.00045942301557470974,66689,101.8,5,128,tanh,0.0007162786999897341,256
6,0.0004542402502220984,3329,101.6,4,32,silu,0.0018484491720988621,256
7,0.0004547506463355743,198657,107.4,4,256,silu,0.00027810936979265544,128
8,0.0004522728838939936,16961,110.2,5,64,silu,0.00012675278269816303,64
9,0.0004550065462423775,8641,101.5,3,64,tanh,0.00468387170811873,256
10,0.0004522825217393872,83201,110.2,6,128,gelu,0.0018848037759340373,64
11,0.00046668026054528757,132865,113.9,3,256,gelu,0.008418632517808798,32
12,0.00045179847690563364,132865,107.2,3,256,gelu,0.0011782800596762833,128
13,0.0004512988861489038,33665,101.5,3,128,gelu,0.0024854672152535575,256
14,0.0004511401225150061,17153,101.4,2,128,gelu,0.0026820797458405802,256
15,0.0004520358108073616,17153,101.4,2,128,gelu,0.002075789510425859,256
16,0.0004558464704761998,17153,108.9,2,128,gelu,0.00320834623175769,64
17,0.0004544457422945505,83201,114.6,6,128,gelu,0.0011107742739282164,32
18,0.0004512043457137994,17153,106.0,2,128,gelu,0.009261677599273111,128
19,0.0004589438445131796,1217,106.2,2,32,tanh,0.007501054462493079,128
20,0.0004514682984266144,4481,106.2,2,64,gelu,0.009006020499939708,128
21,0.00045157716466257203,17153,106.3,2,128,gelu,0.0030833725652368357,128
22,0.00045420596926795464,17153,106.3,2,128,gelu,0.0028864884682123244,128
23,0.0004519042603743191,17153,101.4,2,128,gelu,0.00110866036037927,256
24,0.0004773422574194578,50177,101.7,4,128,gelu,0.005545265532171908,256
25,0.00045450818120466115,83201,107.4,6,128,gelu,0.0028254389819034813,128
26,0.00045435356934411597,17153,109.0,2,128,gelu,0.001456157814309028,64
27,0.00045519298426090524,17153,112.2,2,128,gelu,0.0007946305692236995,32
28,0.00045197248087228776,2273,101.5,3,32,silu,0.0037721376725266243,256
29,0.0004593675403157249,33665,101.5,3,128,tanh,0.006283653266946437,256
30,0.000451520868899444,16961,107.2,5,64,gelu,0.0022563641257258324,128
31,0.0004513058789038601,33665,101.6,3,128,gelu,0.0043430956637909215,256
32,0.0005232339698033264,33665,101.2,3,128,gelu,0.009538962197227958,256
33,0.0004977347931484333,33665,101.5,3,128,gelu,0.006474841815264255,256
34,0.0006471477301182369,33665,101.6,3,128,gelu,0.0038515953584924677,256
35,0.0004511910150400721,17153,101.5,2,128,gelu,0.0045448386073854916,256
36,0.00045155539163925615,17153,101.5,2,128,gelu,0.0024127924888933143,256
37,0.0004645301244006707,17153,101.5,2,128,tanh,0.0051546981260646345,256
38,0.0004557113615401949,1217,101.4,2,32,silu,0.0014866354653219967,256
39,0.0004512391774019656,198657,101.9,4,256,gelu,0.007028164805411234,256
40,0.0004529542392657067,198657,114.8,4,256,gelu,0.006575398406679403,32
41,0.0005045122435638824,198657,102.0,4,256,gelu,0.0036145793652484393,256
42,0.00046324261571638857,198657,101.9,4,256,gelu,0.004527579174067269,256
43,0.00045137765230790066,264449,102.1,5,256,gelu,0.007295370328768952,256
44,0.00045221175241749734,198657,102.0,4,256,silu,0.00023729930901397996,256
45,0.0004512280474255721,21121,110.2,6,64,gelu,0.005471914435918191,64
46,0.0021717695546193193,21121,110.2,6,64,tanh,0.0099043787551455,64
47,0.0004513172461884096,21121,110.2,6,64,gelu,0.00550564191656247,64
48,0.0004537931437460849,21121,110.2,6,64,gelu,0.004615299008017012,64
49,0.0004521819176331449,21121,110.2,6,64,silu,0.006906720605890918,64
