trial,val_mse,n_params,elapsed_s,depth,width,activation,lr,batch_size
0,2.974531598126235e-07,33665,5.0,3,128,gelu,0.004622589001020831,256
1,1.1527947488222987e-06,264449,4.8,5,256,gelu,0.0001238513729886094,256
2,5.9001080304509605e-06,17153,3.7,2,128,tanh,0.0004201672054372534,256
3,1.218102023760646e-06,132865,4.1,3,256,gelu,0.0005170191786366995,256
4,1.7309949997140323e-06,2273,29.6,3,32,silu,0.005323617594751502,32
5,8.819467998714223e-06,66689,4.4,5,128,tanh,0.0007162786999897341,256
6,1.4291294383803268e-06,3329,4.1,4,32,silu,0.0018484491720988621,256
7,6.897601150075599e-07,198657,7.9,4,256,silu,0.00027810936979265544,128
8,1.0672585856442452e-06,16961,16.5,5,64,silu,0.00012675278269816303,64
9,1.4227001722352165e-06,8641,3.8,3,64,tanh,0.00468387170811873,256
10,1.1783533754903776e-06,83201,17.8,6,128,gelu,0.0018848037759340373,64
11,nan,198657,8.0,4,256,silu,0.008277466414801106,128
12,nan,198657,8.0,4,256,silu,0.00949938836729208,128
13,1.000678567974179e-06,198657,7.9,4,256,silu,0.0014223345116307722,128
14,9.190325202395727e-07,50177,7.7,4,128,gelu,0.00035397284510561627,128
15,nan,330241,9.1,6,256,silu,0.00890338491279094,128
16,nan,330241,9.0,6,256,gelu,0.009778966101157442,128
17,0.025507114326151516,330241,9.2,6,256,gelu,0.008799769003111241,128
18,3.023464129315611e-06,67073,26.9,2,256,silu,0.00022068852390356444,32
19,3.3057058667159604e-06,50177,8.0,4,128,silu,0.0011015817257387474,128
20,3.994850771960046e-06,2273,7.5,3,32,gelu,0.003079167125509691,128
21,1.105843777028125e-06,12801,15.9,4,64,silu,0.00021914805291808694,64
22,4.047287190517706e-06,33665,28.4,3,128,gelu,0.008319910852741716,32
23,1.7803467882843577e-06,67073,6.7,2,256,tanh,0.0008202932941208611,128
24,5.194293407839723e-06,83201,4.6,6,128,gelu,0.0028313436590855284,256
25,3.610725344698879e-07,50177,7.7,4,128,gelu,0.00030186369349482063,128
26,8.114194870883623e-07,50177,7.7,4,128,gelu,0.0002452797194479508,128
27,4.212218610833728e-07,50177,7.8,4,128,gelu,0.0002888674156945538,128
28,1.3989286786069827e-06,50177,7.7,4,128,gelu,0.00010252785156646761,128
29,1.6265120559812483e-06,33665,7.2,3,128,gelu,0.00016132531761358323,128
30,2.936214404878858e-06,50177,30.7,4,128,gelu,0.0007243510897530972,32
31,5.341712516418248e-07,50177,16.2,4,128,gelu,0.0005111766738559515,64
32,1.845749046389336e-06,33665,8.1,3,128,gelu,0.00017763555378805433,128
33,8.374143432704911e-07,66689,4.9,5,128,gelu,0.00033514673522913867,256
34,2.6236452649405132e-06,4481,4.0,2,64,gelu,0.0009702696315773234,256
35,2.0054089873156045e-06,50177,17.5,4,128,gelu,0.0005113785826503295,64
36,3.6739852104207017e-07,50177,17.5,4,128,gelu,0.0004973616265652602,64
37,4.232861943347206e-07,50177,17.6,4,128,gelu,0.00015447902190799745,64
38,6.973302777606267e-07,50177,17.6,4,128,gelu,0.0004232133707431189,64
39,1.6990972373885317e-05,2273,4.4,3,32,tanh,0.00030262541671246764,256
40,1.4497918134391232e-06,66689,18.8,5,128,gelu,0.0004128092686794949,64
41,2.0785603037045172e-07,50177,4.6,4,128,gelu,0.0006429011133364188,256
42,4.073838952605841e-06,5441,5.2,6,32,tanh,0.0005846726561146696,256
43,5.145769097662895e-07,50177,4.6,4,128,gelu,0.0013725691188652832,256
44,1.4269151073711748e-06,8641,4.4,3,64,gelu,0.005798377204388692,256
45,2.0906439601731108e-07,50177,4.6,4,128,gelu,0.0006681455571039882,256
46,2.06903064664105e-07,50177,4.6,4,128,gelu,0.0006441469881249024,256
47,2.0871444333509387e-07,50177,4.6,4,128,gelu,0.0006677552721179118,256
48,2.0254274674541122e-07,50177,4.6,4,128,gelu,0.0006570046297176885,256
49,2.423683965319539e-07,50177,4.6,4,128,gelu,0.0006133407258089409,256
