trial,val_mse_mean,val_mse_std,n_params,elapsed_s,depth,width,activation,lr,batch_size,weight_decay
0,0.2260616130482877,0.38697877399927366,34561,1641.3,3,128,gelu,0.004622589001020831,32,0.0001
1,0.03555029682611234,0.003629367046246986,1441,795.9,2,32,silu,0.00013492834268013249,64,0.001
2,0.08061877689157756,0.09450983858441572,4609,484.3,5,32,silu,0.007568292060167618,128,0.01
3,0.03297168468034255,0.005179186298849237,51073,1658.5,4,128,tanh,0.00010257563974185662,32,0.0
4,0.030917233884476085,0.0049685379575866665,68865,820.1,2,256,gelu,0.0033233042062267943,64,0.0
5,0.22529739606767324,0.3873679755894612,84097,482.6,6,128,silu,0.007234279845665418,128,0.001
6,0.03893844200964268,0.003740862227245965,34561,802.9,3,128,tanh,0.0001736723715159316,64,0.01
7,0.03378404000503303,0.0029257155001639543,4929,838.4,2,64,silu,0.00019489008462344248,64,0.0001
8,0.03266430597703941,0.0032793653751076986,3553,879.0,4,32,silu,0.0010572705046816896,64,0.001
9,0.03086752681363078,0.004687559374732155,13249,1665.0,4,64,gelu,0.006321732490144022,32,0.0001
10,0.03348017798982228,0.003776469849595586,13249,1669.0,4,64,gelu,0.0007872265282002781,32,0.0001
11,0.029144512890989793,0.004793964543050917,68865,1485.8,2,256,gelu,0.002408899482245,32,0.0
12,1.0,0.0,266241,208.2,5,256,gelu,0.0017340750366137945,32,0.0
13,1.0,0.0,332033,351.2,6,256,gelu,0.002393719194281379,32,0.0001
14,0.03292908030169048,0.002963596976178072,4929,1602.2,2,64,gelu,0.00048484014956722785,32,0.0
15,1.0,0.0,200449,0.5,4,256,gelu,0.00988109617202513,32,0.0001
16,0.03216623107521222,0.0027808080634334773,4929,435.1,2,64,tanh,0.004400396025552259,128,0.0
17,0.033183692912850185,0.0036481694732761745,13249,1663.1,4,64,gelu,0.002079970663621357,32,0.01
18,0.03169383258782549,0.005343068007742864,266241,1744.1,5,256,gelu,0.001135989179898386,32,0.0001
19,0.032162194842716846,0.0033642367424524386,9089,1627.5,3,64,gelu,0.00044286663257910475,32,0.0
20,0.029677876385501945,0.006227571066792669,332033,485.8,6,256,tanh,0.004615289873088611,128,0.0001
21,0.028294028601143512,0.00603028897648951,332033,488.3,6,256,tanh,0.004866265016724765,128,0.0001
22,0.02891248155983452,0.004239213366621845,332033,483.2,6,256,tanh,0.003055988171342268,128,0.0001
23,0.026567630148707676,0.004300028341044113,332033,466.9,6,256,tanh,0.0027730839047650853,128,0.0001
24,0.02783903655366829,0.007046915682581339,332033,438.2,6,256,tanh,0.0034542978253064875,128,0.0001
25,0.02932298093640174,0.006618757071510662,332033,478.2,6,256,tanh,0.001543541611869181,128,0.0001
26,0.02662937088597279,0.005246585055958562,332033,506.7,6,256,tanh,0.0035518658805520787,128,0.0001
27,0.02757868222405131,0.006697112611607642,332033,502.1,6,256,tanh,0.00321640980617874,128,0.0001
28,0.028959340407871282,0.004828122554292819,332033,472.9,6,256,tanh,0.0012477097762132491,128,0.0001
29,0.028923764699496902,0.005179551240312944,332033,483.3,6,256,tanh,0.0028541389170984735,128,0.0001
