trial,val_mse_mean,val_mse_std,n_params,elapsed_s,depth,width,activation,lr,batch_size,weight_decay
0,0.03172714677001744,0.004823295246180278,34561,1190.4,3,128,gelu,0.004622589001020831,32,0.0001
1,0.03585898493824632,0.003472726047289921,1441,683.0,2,32,silu,0.00013492834268013249,64,0.001
2,0.03572322108087918,0.003831706777297788,4609,424.1,5,32,silu,0.007568292060167618,128,0.01
3,0.03330875113167021,0.005434798044474752,51073,1409.0,4,128,tanh,0.00010257563974185662,32,0.0
4,0.029311922816721743,0.005420779484974118,68865,679.9,2,256,gelu,0.0033233042062267943,64,0.0
5,0.6113023215378993,0.47605643682530197,84097,289.7,6,128,silu,0.007234279845665418,128,0.001
6,0.03936704198149714,0.004005630246727296,34561,713.1,3,128,tanh,0.0001736723715159316,64,0.01
7,0.03432008217519408,0.00313597696841198,4929,684.0,2,64,silu,0.00019489008462344248,64,0.0001
8,0.03287553469304098,0.0034383901117118988,3553,723.9,4,32,silu,0.0010572705046816896,64,0.001
9,0.0320655529585825,0.003704842875311166,13249,4932.9,4,64,gelu,0.006321732490144022,32,0.0001
10,0.03182477418617511,0.004803927264412128,68865,3289.9,2,256,gelu,0.0014288830155676847,64,0.0
11,0.030801267811748256,0.00480327874540579,134657,7168.9,3,256,gelu,0.002753275780903924,32,0.0001
12,0.02826800480117936,0.0040616021696163246,134657,4442.5,3,256,gelu,0.0019372183918496529,32,0.0
13,0.22774594710880933,0.38613080841814806,266241,4850.0,5,256,gelu,0.000581480696430101,32,0.0
14,1.0,0.0,332033,483.2,6,256,gelu,0.002654334209893313,128,0.0
15,0.03312268279372274,0.002807405935523896,68865,1633.3,2,256,gelu,0.000508546954136634,64,0.0
16,0.028874697780944446,0.0048047203556750955,134657,1588.9,3,256,gelu,0.0023767940416957486,32,0.0
17,0.030554784926268175,0.006685641270280155,134657,7825.5,3,256,tanh,0.0015148170923121095,32,0.0
18,0.029884073023306097,0.005024550641719846,134657,2210.2,3,256,gelu,0.0007097932108117343,32,0.0
19,0.03399040311174737,0.0032957807632245225,9089,1290.3,3,64,gelu,0.00034766973410306295,32,0.01
20,0.029861720005753774,0.00607481355344698,134657,1144.6,3,256,tanh,0.001959213458521788,32,0.0
21,0.22488029682328875,0.38756457602175126,68865,604.1,2,256,gelu,0.0035455268525010383,32,0.0
22,0.41786303385908835,0.47531862311656203,134657,329.7,3,256,gelu,0.004015900303053102,64,0.0
23,1.0,0.0,332033,146.5,6,256,gelu,0.002058721619046256,128,0.0
24,0.8065323070243885,0.386935385951223,266241,327.2,5,256,gelu,0.0009848202406271722,32,0.0
25,0.031216764259338725,0.0061646149753111935,68865,360.7,2,256,gelu,0.002836071106255021,64,0.0
26,1.0,0.0,134657,339.7,3,256,gelu,0.005470648126311351,32,0.0
27,0.08050196113636691,0.09615781019154482,9089,714.5,3,64,gelu,0.008982013304804705,32,0.01
28,0.03260900181453102,0.005896038946110234,1441,235.4,2,32,tanh,0.0015935357401147931,128,0.001
29,0.031595621819176925,0.003913753010918225,34561,389.7,3,128,gelu,0.004175692293564052,64,0.0001
