trial,val_mse_mean,val_mse_std,n_params,elapsed_s,depth,width,activation,lr,batch_size,weight_decay
0,0.4281511649837987,0.4669225228814668,34561,771.2,3,128,gelu,0.004622589001020831,32,0.0001
1,0.05245991593088918,0.0038626236742524134,1441,480.0,2,32,silu,0.00013492834268013249,64,0.001
2,0.050951919435881655,0.003576265882997217,4609,408.8,5,32,silu,0.007568292060167618,128,0.01
3,0.04871995950469464,0.00360142274715577,51073,978.0,4,128,tanh,0.00010257563974185662,32,0.0
4,0.04649663265832864,0.002935896402163998,68865,477.2,2,256,gelu,0.0033233042062267943,64,0.0
5,0.23739515843357034,0.38131241094989354,84097,328.8,6,128,silu,0.007234279845665418,128,0.001
6,0.054984572345153526,0.003395219393191804,34561,530.5,3,128,tanh,0.0001736723715159316,64,0.01
7,0.05031995201168362,0.0013815045543709424,4929,611.2,2,64,silu,0.00019489008462344248,64,0.0001
8,0.04967624128562416,0.002379083033932662,3553,830.0,4,32,silu,0.0010572705046816896,64,0.001
9,0.047812978850636526,0.004217069207304668,13249,1277.8,4,64,gelu,0.006321732490144022,32,0.0001
10,0.04758187331807088,0.003603847332828715,68865,525.6,2,256,gelu,0.0014288830155676849,64,0.0
11,0.04754615042154111,0.003444566813637463,68865,481.0,2,256,gelu,0.0019383199835819557,64,0.0
12,0.04626563778086839,0.003171258949467866,68865,487.0,2,256,gelu,0.001937218391849653,64,0.0
13,0.04909886552784227,0.0026867317250739275,68865,483.1,2,256,gelu,0.000581480696430101,64,0.0
14,0.808840382538736,0.3823192349225283,266241,174.2,5,256,gelu,0.002654334209893313,128,0.0
15,0.23667208127319522,0.3816955646040815,332033,565.5,6,256,gelu,0.0006661851646361252,64,0.0
16,0.04747901101145601,0.0034914352298301508,68865,487.3,2,256,tanh,0.0032578465696934122,64,0.0
17,0.049419354707924835,0.0024422765567824662,68865,481.8,2,256,gelu,0.0004623172938434253,64,0.0
18,0.050502785828689854,0.004151986742832585,68865,880.8,2,256,gelu,0.0035945981577344983,32,0.01
19,0.04762444124743342,0.0021936932622022044,17409,356.3,5,64,gelu,0.001131560945551059,128,0.0
20,0.045170985596528386,0.004827578749547391,134657,514.3,3,256,tanh,0.0020090249969876676,64,0.0
21,0.045009051028072976,0.0038141602560509587,134657,511.2,3,256,tanh,0.0019482436908264847,64,0.0
22,0.04400791052538975,0.00477659423062567,134657,523.7,3,256,tanh,0.0018049050544757684,64,0.0
23,0.04416869874103178,0.0050929933176896034,134657,533.0,3,256,tanh,0.0020690867638070345,64,0.0
24,0.045604963692726895,0.005767695191030188,134657,526.9,3,256,tanh,0.0010262674174524617,64,0.0
25,0.04921409592530964,0.003553397787702843,134657,528.4,3,256,tanh,0.0003314992047570662,64,0.0
26,0.04666420181464477,0.005541722763478684,134657,531.7,3,256,tanh,0.0014454484050076693,64,0.0001
27,0.054145324066244796,0.004806391991765123,9089,537.9,3,64,tanh,0.004507520401481543,64,0.01
28,0.04735718101033798,0.0026126508366368945,2497,336.0,3,32,tanh,0.0007892531926766415,128,0.001
29,0.047799274349226796,0.0050138630715983405,34561,907.0,3,128,tanh,0.002473152411060546,32,0.0001
