trial,val_mse_mean,val_mse_std,n_params,elapsed_s,depth,width,activation,lr,batch_size,weight_decay
0,0.04405260370946124,0.005323483031549045,34561,758.2,3,128,gelu,0.004622589001020831,32,0.0001
1,0.05203087261803996,0.0036309035448583832,1441,350.6,2,32,silu,0.00013492834268013249,64,0.001
2,0.06355967105695835,0.026676197367558226,4609,298.2,5,32,silu,0.007568292060167618,128,0.01
3,0.04850215778187632,0.003686647288730675,51073,934.4,4,128,tanh,0.00010257563974185662,32,0.0
4,0.04523338176713635,0.0024678088709548453,68865,523.9,2,256,gelu,0.0033233042062267943,64,0.0
5,0.046690468382376886,0.004188898207058459,84097,399.2,6,128,silu,0.007234279845665418,128,0.001
6,0.05421022132284683,0.0034821902203783974,34561,397.7,3,128,tanh,0.0001736723715159316,64,0.01
7,0.0500082539381715,0.0017987359838702833,4929,332.9,2,64,silu,0.00019489008462344248,64,0.0001
8,0.04873822285839375,0.002206500005386873,3553,380.0,4,32,silu,0.0010572705046816896,64,0.001
9,0.045804661943568095,0.0038647344805586565,13249,751.8,4,64,gelu,0.006321732490144022,32,0.0001
10,0.04818437163113255,0.001610263411713385,18049,624.7,2,128,gelu,0.00048708577262184167,32,0.0001
11,0.046547052836063876,0.002358489035274007,68865,416.3,2,256,gelu,0.002069598277024217,64,0.0
12,0.04694812070396523,0.0026837428778773414,34561,758.1,3,128,gelu,0.009343619568635978,32,0.001
13,0.0480722778185063,0.005437830377699065,84097,1011.0,6,128,gelu,0.0031872777461000334,32,0.0001
14,0.048815448419307364,0.004321287444478086,134657,875.4,3,256,gelu,0.0022954422682064674,32,0.01
15,0.04609635869781578,0.0036053832465812634,34561,490.5,3,128,gelu,0.0016453731454211637,64,0.0001
16,0.04519577290177546,0.005129160744344519,34561,644.9,3,128,tanh,0.004454514115380327,32,0.0001
17,0.0453181999074843,0.006587675552468439,134657,822.0,3,256,tanh,0.0043733440832125015,32,0.0001
18,0.047673477978927806,0.0028762179257034097,34561,632.2,3,128,silu,0.0037485363404372416,32,0.0001
19,0.047379457676447655,0.005913586670511746,34561,635.3,3,128,tanh,0.0019137417633191855,32,0.0001
20,0.04510077344958771,0.005589716965434134,18049,556.4,2,128,tanh,0.009050270181415274,32,0.0001
21,0.04666503158555581,0.006226690880096915,18049,275.5,2,128,gelu,0.007998402084406964,128,0.0001
22,0.11836871417920566,0.009268665189842507,84097,920.2,6,128,tanh,0.008193837490951001,32,0.0001
23,0.04654389685324813,0.00391600174582177,1441,356.9,2,32,tanh,0.006537720852027539,64,0.0001
24,0.04704974852643528,0.004038796715252091,18049,604.2,2,128,tanh,0.005250890326746524,32,0.0001
25,0.04678550737100372,0.004832720045061359,18049,600.1,2,128,tanh,0.002733087793057289,32,0.0001
26,0.04952521934446234,0.0037400955032380594,34561,329.2,3,128,gelu,0.004892945934139484,128,0.01
27,0.048727491851450935,0.0019143921076466561,2497,679.1,3,32,gelu,0.006375643580679576,32,0.0001
28,0.04619079321517504,0.005438878790929243,51073,684.9,4,128,tanh,0.006504366666173893,32,0.001
29,0.045138998154034916,0.005793664336930336,9089,455.6,3,64,tanh,0.007951744378823827,32,0.0001
