trial,val_mse_mean,val_mse_std,n_params,elapsed_s,depth,width,activation,lr,batch_size,weight_decay
0,0.2157705083489418,0.05210707705957826,34561,119.8,3,128,gelu,0.00314288089084011,16,0.0001
1,70.5419921875,2.911461949589225,1441,62.7,2,32,silu,1.5673095467235405e-05,32,0.001
2,0.20808643102645874,0.03701101790219737,4609,50.1,5,32,silu,0.006584106160121612,64,0.01
3,0.5098924338817596,0.1433996545723524,51073,133.7,4,128,tanh,1.0388823104027935e-05,16,0.0
4,0.3974091649055481,0.1082289525434499,68865,60.8,2,256,gelu,0.0019158219548093154,32,0.0
5,0.19295969009399414,0.034464965353742334,84097,51.1,6,128,silu,0.006153085601625313,64,0.001
6,0.6816629588603973,0.18033396827481524,34561,66.3,3,128,tanh,2.2887381144600954e-05,32,0.01
7,2.5489824295043944,1.1063906332576927,4929,59.9,2,64,silu,2.7207248059486674e-05,32,0.0001
8,0.32816725969314575,0.08765180922452091,3553,72.1,4,32,silu,0.0003437788661779579,32,0.001
9,0.19000808000564576,0.031305145167466304,13249,123.6,4,64,gelu,0.005026366723161422,16,0.0001
10,0.4155931681394577,0.18260324598816757,13249,123.6,4,64,gelu,0.00022087653515052972,16,0.0001
11,0.18216957449913024,0.016524840758055725,21569,50.8,6,64,gelu,0.00978700441906699,64,0.001
12,0.2293536841869354,0.007049411664585075,21569,50.9,6,64,gelu,0.0013200686769803819,64,0.0001
13,0.17307519614696504,0.022647808231873547,21569,51.8,6,64,gelu,0.009936868739211376,64,0.001
14,0.18389527201652528,0.019281748320036443,21569,55.6,6,64,gelu,0.009728583151931078,64,0.001
15,0.1775693714618683,0.028174115183992914,332033,50.6,6,256,gelu,0.0009513717145420528,64,0.001
16,0.1946890264749527,0.02811718017783578,332033,50.7,6,256,tanh,0.0008372747837719545,64,0.001
17,0.23562894463539125,0.023559188836151455,266241,46.8,5,256,gelu,0.00014283916590313673,64,0.001
18,0.3305270433425903,0.22173215244317257,332033,50.8,6,256,gelu,6.974843405095604e-05,64,0.001
19,0.1757378727197647,0.025941254776666037,332033,49.3,6,256,gelu,0.0006462444833481019,64,0.0
20,0.8400336086750031,0.3150251528845054,332033,51.5,6,256,tanh,0.0004264261733588371,64,0.0
21,0.18336822986602783,0.023110424467372336,332033,53.2,6,256,gelu,0.0007625344687909921,64,0.0
22,0.1838611990213394,0.019668415301403164,332033,53.1,6,256,gelu,0.0019673249915122815,64,0.0
23,0.26356998085975647,0.05195195240230929,332033,52.5,6,256,gelu,0.00010515109279763085,64,0.01
24,0.18653143644332887,0.026030827917253956,332033,49.6,6,256,gelu,0.0006177123112219539,64,0.0
25,0.17935340106487274,0.030251433959589832,134657,40.0,3,256,gelu,0.002782597457826064,64,0.001
26,0.4548910200595856,0.2339716975286704,17409,47.3,5,64,gelu,5.2994879294165055e-05,64,0.001
27,0.28497170805931094,0.06164625145444463,5665,49.6,6,32,gelu,0.00032669525617444803,64,0.0
28,0.19488614201545715,0.021582909179865495,332033,50.7,6,256,gelu,0.0012334251731863863,64,0.01
29,0.17058780491352082,0.029093646746293784,34561,122.1,3,128,tanh,0.0037600695879154403,16,0.001
