trial,mean_err,max_err,n_params,elapsed_s,depth,width,activation,lr,w_ic,rho_bias,fo_bias
0,0.020114136436612546,0.03629142575827218,111937,37.4,4,192,softplus,0.002595942550311264,50,3,4
1,0.01887072242910826,0.07239199448659583,395777,34.5,7,256,tanh,0.0014537555576161927,50,2,3
2,0.00272189929285104,0.010519485631257066,132609,29.1,3,256,silu,0.00030012301808980484,50,4,3
3,0.0037126493596127364,0.012224383841301645,264193,37.2,5,256,silu,0.00015965665886173757,20,1,2
4,0.011441474522400718,0.07749540083961248,132609,25.3,3,256,softplus,0.0023196088229293613,50,4,2
5,0.03803477523981165,0.0708356578786232,223105,36.0,7,192,tanh,0.0006995363653959083,20,3,3
6,0.006902441643896954,0.025503990547927846,50049,27.7,4,128,tanh,0.00011729398526129196,5,3,1
7,0.0016418499279116444,0.023718950646194448,8577,30.4,3,64,silu,0.00037670505286095646,10,4,4
8,0.008586098286465997,0.09117061379265579,83073,40.7,6,128,softplus,0.0013099797385674444,1,1,1
9,0.013101467961097178,0.12978754160516504,111937,32.0,4,192,softplus,0.00053391487960469,1,1,1
10,0.0014882064635974629,0.01847805851986606,8577,30.5,3,64,silu,0.0038364834250811473,10,4,4
11,0.007047686514328985,0.03196558000491545,8577,29.3,3,64,silu,0.0048218391874594166,10,4,4
12,0.0015002192531883068,0.02820825328138732,8577,27.6,3,64,silu,0.00034953863092726035,10,4,4
13,0.0019964445481149996,0.015176666132775463,8577,29.3,3,64,silu,0.00456918257364718,10,4,4
14,0.0018086478896387876,0.03174894799497985,21057,47.1,6,64,silu,0.0002412425159729168,10,2,4
15,0.006295699325639519,0.020896745077935375,16897,39.6,5,64,silu,0.0009778009747263559,10,4,4
16,0.006254857406704564,0.014295088769167432,8577,29.0,3,64,silu,0.002489321659475335,5,4,4
17,0.0030701765401951755,0.06340902795103454,8577,29.6,3,64,silu,0.00017399925133592732,10,4,4
18,0.0010252886785823985,0.012405893934311574,8577,28.3,3,64,silu,0.000508934145453875,10,2,2
19,0.018275908130297558,0.03303731448087119,66561,31.0,5,128,tanh,0.0007154731028191787,10,2,2
20,0.004975025084387091,0.012856608813727258,25217,50.9,7,64,silu,0.0015478722719531278,5,2,2
21,0.0025487844541670795,0.024716195957931508,8577,27.6,3,64,silu,0.0004768586120510831,10,2,2
22,0.0014512833519881724,0.028039895239378998,8577,29.2,3,64,silu,0.00025304367252258753,10,2,2
23,0.0028144035141878143,0.07156842698362731,8577,30.3,3,64,silu,0.00010605242119436814,10,2,2
24,0.0016236695748571112,0.03833555454304416,8577,30.3,3,64,silu,0.0002158405123758017,10,2,2
25,0.0029503774559855494,0.04444718276605952,21057,47.0,6,64,silu,0.0008727101374593644,1,2,2
26,0.0026802581648815867,0.011739970771212471,8577,27.6,3,64,silu,0.0035919332572198156,20,2,2
27,0.002107074062279353,0.013161060707839956,33537,29.9,3,128,silu,0.0005244669415913532,10,2,2
28,0.001199380519872981,0.0065828553353344255,74881,24.0,3,192,tanh,0.0001651109865666667,10,3,1
29,0.006463062113148805,0.06576941506136802,111937,27.9,4,192,tanh,0.00014622551386434386,10,3,1
30,0.007691695891928772,0.014710604301551466,148993,30.2,5,192,tanh,0.0002480313246586451,20,3,1
31,0.00656530617049062,0.014723060028823842,74881,22.9,3,192,tanh,0.00018191300126890725,10,3,1
32,0.03505167043804265,0.3629118396598482,74881,27.7,3,192,softplus,0.00012603254204125985,10,3,3
33,0.041163922695634125,0.07304783566723916,223105,38.1,7,192,tanh,0.00022014380872693192,50,3,1
34,0.004089387147623607,0.02628642404927861,132609,22.3,3,256,tanh,0.0018302753545929962,10,1,3
35,0.005737380390820254,0.07406836832418096,132609,27.6,3,256,softplus,0.00030476278309511196,50,2,2
36,0.0011998663077374095,0.023404114189650604,74881,30.4,3,192,silu,0.00014368836327408933,10,2,2
37,0.01565730537126983,0.02558912753649364,223105,36.8,7,192,tanh,0.00014395257968647876,5,2,2
38,0.005381604232009606,0.01126114143634881,111937,33.3,4,192,silu,0.00041224582835766067,50,2,2
39,0.008985794747877853,0.1384970593721846,74881,24.6,3,192,tanh,0.0003071978008710066,1,2,2
40,0.017562670596831576,0.057061105849265936,186049,40.8,6,192,softplus,0.00019085445042910814,20,3,3
41,0.0030357520286672115,0.055253205197128286,8577,30.2,3,64,silu,0.0001416328398047473,10,1,2
42,0.0010555705058394272,0.020356611544231018,132609,30.1,3,256,silu,0.00011152272414171291,10,2,1
43,0.0009465228655627433,0.01675139480266913,132609,30.3,3,256,silu,0.00011487565177002337,10,2,1
44,0.0011499842844463375,0.026657067480589935,132609,30.2,3,256,silu,0.00010277860516703993,10,2,1
45,0.0013422238439735777,0.019673095280269226,132609,30.1,3,256,silu,0.00010653544057961914,10,2,1
46,0.0030156624732913502,0.008558727480104,198401,35.4,4,256,silu,0.00011979985567004176,10,2,1
47,0.012958447754682205,0.25605711370828677,132609,30.1,3,256,silu,0.000102579924773838,1,2,1
48,0.0023833516247926635,0.043967140230700696,264193,36.2,5,256,softplus,0.00012588739220777872,10,1,1
49,0.002194447066131196,0.0128017639091339,132609,29.4,3,256,silu,0.00016847606901565528,10,3,1
